porno
pizdiș
pizdos
poponar
poziția 42
poziția 69
a se priponi în făcăleț
pulărău
pulică
a i-o pune
a pune botul la savarină
a se pune capră
a-și pune curul la bătaie
a-și pune curul la treabă
a pupa adânc
a pupa înalt
a pupa în cur
a-l pupa mă-sa rece
pupincurist
rahat cu ochi
a rămâne crăcănat
a răspândi bășini
a regula
regulat
roiu
sărindar
sânge la tavă
schwitz
schwitzeră
a i se scula
seară de zarzavat
shit
sloboz
a sparge la buburuză
spălătură
spintecătură
spumă
a sta ca o balegă
a sta cu deștu-n cur
a strânge de coaie
a strica tabieturile cuiva
sugaci
a o suge
a suge nasul la morți
a suge pixu'
sugiuc
supt
și futut
șiștoi
ștoi
tacă-ți cața
tarabă
târtiță
abelipula
a trage bășini
a trage o clanță
a trage un clei
a trage în cosor
a trage la calendar
a i-o trage la cercul maro
a trage limbi
a trage pe făcăleț
a o trage sub coadă
a trage un tighel
a trece la ciocofon
trompă de elefant și coaie de nurcă
țăran bășit
a se uda toată
a umbla în bășini
unde se fut păianjenii
vangă
a veni cu ornic
a veni lăstărel
vezi că-ți pute curu'
rahat
viezure
viorist
zât
zdrâmbă
zeamă
a pișa in freză
alivanti pour toujours și să mă pupați în cur
băși
boșorogeală
carici
căcăstoare
coi
crăpelniță
a o da la gingie
a o da pe bibliuri
lindic
a lua ceva tare în cur
a se lua de cur și a sări în sus
a o lua în buci
a o lua în gură
a o lua în mână
a o lua între picioare
măciuci în buci
pișa
pulă
rahat
vagabond
bijboacă
bumb
a călca în noroc
a da cu sacâz
a-și da drumul pe el
hai sifon
a împărți urări de mamă
a linge cireașa
mânca-ți-ai nasul
a merge la fete
pișu
pișulit
ucigă-l crucea
păsărică
poponeață
poponeț
popou
babalâc
balabustă
balaoacheș
băboi
burtăverzime
cărpănos
cărpănoșie
chiaburaș
chiaburoi
grăsan
handralău
hârțoagă
javră
țărănoi
țărănos
mămăligos
levantin
piciorong
fufă
funcționăraș
palavragioaică
palavragiu
para
paraleu
pastișa
pastișare
pastișor
patalama
păducherniță
poliloghie
poezioară
poezea
poetesă
poetastru
poetard
mârlan
potaie
pușcoci
ciocănar
ofițeraș
ofițeroi
epicurian
tarabă
oricine
fleancă
cirac
conțopist
rablionetă
muieros
musafirlâc
muierește
muieret
muieri
scursură
turcime
xantipă
scriptoman
bulangiu
paiață
pantalonar
să-mi bag pula
băga-mi-aș pula
bag pula
și-a băgat pula
pula mea
ce pula mea?
mânca-ți-aș pula
mânca-mi-ai pula
du-te-n pula mea de aici
du-te-n pula mea de aici...
în pula mea
am belit pula
fix pula
o pulă
ca pula
s-a dus pe pulă
mă fac pulă
pielea pulii
ete pula
în pulă cu satelitul
mă doare-n pulă
mi se rupe pula
băi pulă
o pulă de om
pe pula lui
de pulă să mă treci strada
un pulărău
ce-are pula cu pefectura
un pulete
un pulifrici
pulică frânaru
la pulivară
mai știe pula
pula nu știe carte
"fuți, nu fuți, vremea pulii trece"
făcută în ciuda pulii
îți bați pula de mine
râzi ca proasta la pulă
și cu pula-n cur și cu sufletu-n rai
pula-n cur și bani de drum!
